subjID,is_control,eval_index,eval_id,eval_n_start_ts,rule_text,category,evidence,input_rule_rating,eval_n_end_ts
user_1594291642529,True,1,3,1594291918225,"If a lure combination has a top lure with bright colors that are more visible under water (red or yellow), it will catch fish.",abstract_color,0.75,100,1594291927746
user_1594291642529,True,2,7,1594291927747,"If a lure combination has a rounded top shape that resembles a fish's body, it will catch fish.",abstract_shape,0.75,100,1594291938379
user_1594291642529,True,3,1,1594291938379,"If a lure combination has a blue shape, it will catch fish.",misc,0.5,1,1594291942438
user_1594291642529,True,4,4,1594291942439,"If a lure combination has a pointy shape on the bottom, it will catch fish.",target,1,100,1594291944862
user_1594291642529,True,5,5,1594291944862,"If a lure combination has a red shape on the bottom, it will catch fish.",misc,0.25,1,1594291952678
user_1594291642529,True,6,6,1594291952678,"If a lure combination has a purple dot on at least one of the lures, it will catch fish.",misc,0.75,100,1594291958010
user_1594291642529,True,7,8,1594291958011,"There is no pattern to which lure combinations catch fish: the results are random, but there are approximately equal numbers that catch fish and don’t.",rand,0,100,1594291960825
user_1594291642529,True,8,2,1594291960826,"If a lure combination has a yellow shape or a diamond on the bottom, it will catch fish.",distractor,1,1,1594291966907
user_1595893426910,False,1,7,1595893656794,"If a lure combination has a rounded top shape that resembles a fish's body, it will catch fish.",abstract_shape,0.75,75,1595893672063
user_1595893426910,False,2,6,1595893672063,"If a lure combination has a purple dot on at least one of the lures, it will catch fish.",misc,0.75,63,1595893677375
user_1595893426910,False,3,1,1595893677375,"If a lure combination has a blue shape, it will catch fish.",misc,0.5,1,1595893682582
user_1595893426910,False,4,3,1595893682582,"If a lure combination has a top lure with bright colors that are more visible under water (red or yellow), it will catch fish.",abstract_color,0.75,64,1595893684985
user_1595893426910,False,5,2,1595893684985,"If a lure combination has a yellow shape or a diamond on the bottom, it will catch fish.",distractor,1,46,1595893686845
user_1595893426910,False,6,8,1595893686845,"There is no pattern to which lure combinations catch fish: the results are random, but there are approximately equal numbers that catch fish and don’t.",rand,0,61,1595893688746
user_1595893426910,False,7,5,1595893688746,"If a lure combination has a red shape on the bottom, it will catch fish.",misc,0.25,45,1595893690498
user_1595893426910,False,8,4,1595893690498,"If a lure combination has a pointy shape on the bottom, it will catch fish.",target,1,36,1595893692326
user_1595049103990,False,1,1,1595049301119,"If a lure combination has a blue shape, it will catch fish.",misc,0.5,17,1595049311058
user_1595049103990,False,2,2,1595049311058,"If a lure combination has a yellow shape or a diamond on the bottom, it will catch fish.",distractor,1,27,1595049318873
user_1595049103990,False,3,3,1595049318874,"If a lure combination has a top lure with bright colors that are more visible under water (red or yellow), it will catch fish.",abstract_color,0.75,53,1595049328063
user_1595049103990,False,4,7,1595049328064,"If a lure combination has a rounded top shape that resembles a fish's body, it will catch fish.",abstract_shape,0.75,51,1595049337685
user_1595049103990,False,5,4,1595049337686,"If a lure combination has a pointy shape on the bottom, it will catch fish.",target,1,100,1595049344556
user_1595049103990,False,6,6,1595049344556,"If a lure combination has a purple dot on at least one of the lures, it will catch fish.",misc,0.75,64,1595049354424
user_1595049103990,False,7,8,1595049354424,"There is no pattern to which lure combinations catch fish: the results are random, but there are approximately equal numbers that catch fish and don’t.",rand,0,100,1595049362413
user_1595049103990,False,8,5,1595049362414,"If a lure combination has a red shape on the bottom, it will catch fish.",misc,0.25,1,1595049367531
user_1595756172063,True,1,1,1595756537940,"If a lure combination has a blue shape, it will catch fish.",misc,0.5,19,1595756548024
user_1595756172063,True,2,4,1595756548024,"If a lure combination has a pointy shape on the bottom, it will catch fish.",target,1,100,1595756553352
user_1595756172063,True,3,8,1595756553352,"There is no pattern to which lure combinations catch fish: the results are random, but there are approximately equal numbers that catch fish and don’t.",rand,0,13,1595756561427
user_1595756172063,True,4,3,1595756561427,"If a lure combination has a top lure with bright colors that are more visible under water (red or yellow), it will catch fish.",abstract_color,0.75,11,1595756569228
user_1595756172063,True,5,6,1595756569228,"If a lure combination has a purple dot on at least one of the lures, it will catch fish.",misc,0.75,15,1595756572863
user_1595756172063,True,6,2,1595756572863,"If a lure combination has a yellow shape or a diamond on the bottom, it will catch fish.",distractor,1,17,1595756575652
user_1595756172063,True,7,5,1595756575652,"If a lure combination has a red shape on the bottom, it will catch fish.",misc,0.25,7,1595756582679
user_1595756172063,True,8,7,1595756582680,"If a lure combination has a rounded top shape that resembles a fish's body, it will catch fish.",abstract_shape,0.75,88,1595756587095
user_1594317989550,True,1,8,1594318476089,"There is no pattern to which lure combinations catch fish: the results are random, but there are approximately equal numbers that catch fish and don’t.",rand,0,64,1594318508722
user_1594317989550,True,2,3,1594318508723,"If a lure combination has a top lure with bright colors that are more visible under water (red or yellow), it will catch fish.",abstract_color,0.75,40,1594318527569
user_1594317989550,True,3,4,1594318527570,"If a lure combination has a pointy shape on the bottom, it will catch fish.",target,1,76,1594318542090
user_1594317989550,True,4,6,1594318542091,"If a lure combination has a purple dot on at least one of the lures, it will catch fish.",misc,0.75,89,1594318553458
user_1594317989550,True,5,5,1594318553458,"If a lure combination has a red shape on the bottom, it will catch fish.",misc,0.25,9,1594318562684
user_1594317989550,True,6,7,1594318562685,"If a lure combination has a rounded top shape that resembles a fish's body, it will catch fish.",abstract_shape,0.75,58,1594318573352
user_1594317989550,True,7,2,1594318573352,"If a lure combination has a yellow shape or a diamond on the bottom, it will catch fish.",distractor,1,76,1594318583298
user_1594317989550,True,8,1,1594318583299,"If a lure combination has a blue shape, it will catch fish.",misc,0.5,18,1594318591082
user_1594639350641,False,1,8,1594639565168,"There is no pattern to which lure combinations catch fish: the results are random, but there are approximately equal numbers that catch fish and don’t.",rand,0,13,1594639578655
user_1594639350641,False,2,6,1594639578655,"If a lure combination has a purple dot on at least one of the lures, it will catch fish.",misc,0.75,43,1594639618703
user_1594639350641,False,3,7,1594639618703,"If a lure combination has a rounded top shape that resembles a fish's body, it will catch fish.",abstract_shape,0.75,17,1594639632916
user_1594639350641,False,4,4,1594639632917,"If a lure combination has a pointy shape on the bottom, it will catch fish.",target,1,92,1594639639105
user_1594639350641,False,5,2,1594639639106,"If a lure combination has a yellow shape or a diamond on the bottom, it will catch fish.",distractor,1,77,1594639660228
user_1594639350641,False,6,3,1594639660229,"If a lure combination has a top lure with bright colors that are more visible under water (red or yellow), it will catch fish.",abstract_color,0.75,36,1594639675459
user_1594639350641,False,7,1,1594639675459,"If a lure combination has a blue shape, it will catch fish.",misc,0.5,17,1594639685224
user_1594639350641,False,8,5,1594639685224,"If a lure combination has a red shape on the bottom, it will catch fish.",misc,0.25,5,1594639693106
user_1594619634331,True,1,1,1594619944748,"If a lure combination has a blue shape, it will catch fish.",misc,0.5,31,1594619954933
user_1594619634331,True,2,8,1594619954933,"There is no pattern to which lure combinations catch fish: the results are random, but there are approximately equal numbers that catch fish and don’t.",rand,0,36,1594619963318
user_1594619634331,True,3,5,1594619963319,"If a lure combination has a red shape on the bottom, it will catch fish.",misc,0.25,11,1594619971000
user_1594619634331,True,4,4,1594619971000,"If a lure combination has a pointy shape on the bottom, it will catch fish.",target,1,84,1594619979022
user_1594619634331,True,5,7,1594619979022,"If a lure combination has a rounded top shape that resembles a fish's body, it will catch fish.",abstract_shape,0.75,30,1594620000139
user_1594619634331,True,6,3,1594620000140,"If a lure combination has a top lure with bright colors that are more visible under water (red or yellow), it will catch fish.",abstract_color,0.75,44,1594620016913
user_1594619634331,True,7,2,1594620016913,"If a lure combination has a yellow shape or a diamond on the bottom, it will catch fish.",distractor,1,83,1594620027519
user_1594619634331,True,8,6,1594620027519,"If a lure combination has a purple dot on at least one of the lures, it will catch fish.",misc,0.75,17,1594620036366
user_1595903138828,True,1,1,1595903492077,"If a lure combination has a blue shape, it will catch fish.",misc,0.5,1,1595903557017
user_1595903138828,True,2,6,1595903557018,"If a lure combination has a purple dot on at least one of the lures, it will catch fish.",misc,0.75,1,1595903570597
user_1595903138828,True,3,7,1595903570597,"If a lure combination has a rounded top shape that resembles a fish's body, it will catch fish.",abstract_shape,0.75,14,1595903584537
user_1595903138828,True,4,5,1595903584538,"If a lure combination has a red shape on the bottom, it will catch fish.",misc,0.25,1,1595903590194
user_1595903138828,True,5,3,1595903590194,"If a lure combination has a top lure with bright colors that are more visible under water (red or yellow), it will catch fish.",abstract_color,0.75,19,1595903606980
user_1595903138828,True,6,4,1595903606980,"If a lure combination has a pointy shape on the bottom, it will catch fish.",target,1,100,1595903613987
user_1595903138828,True,7,8,1595903613988,"There is no pattern to which lure combinations catch fish: the results are random, but there are approximately equal numbers that catch fish and don’t.",rand,0,14,1595903621582
user_1595903138828,True,8,2,1595903621582,"If a lure combination has a yellow shape or a diamond on the bottom, it will catch fish.",distractor,1,80,1595903631556
user_1594258769877,False,1,8,1594259163866,"There is no pattern to which lure combinations catch fish: the results are random, but there are approximately equal numbers that catch fish and don’t.",rand,0,56,1594259332265
user_1594258769877,False,2,7,1594259332265,"If a lure combination has a rounded top shape that resembles a fish's body, it will catch fish.",abstract_shape,0.75,71,1594259344732
user_1594258769877,False,3,2,1594259344733,"If a lure combination has a yellow shape or a diamond on the bottom, it will catch fish.",distractor,1,42,1594259353091
user_1594258769877,False,4,5,1594259353092,"If a lure combination has a red shape on the bottom, it will catch fish.",misc,0.25,22,1594259360022
user_1594258769877,False,5,4,1594259360023,"If a lure combination has a pointy shape on the bottom, it will catch fish.",target,1,75,1594259369851
user_1594258769877,False,6,6,1594259369851,"If a lure combination has a purple dot on at least one of the lures, it will catch fish.",misc,0.75,10,1594259379745
user_1594258769877,False,7,3,1594259379745,"If a lure combination has a top lure with bright colors that are more visible under water (red or yellow), it will catch fish.",abstract_color,0.75,60,1594259392154
user_1594258769877,False,8,1,1594259392154,"If a lure combination has a blue shape, it will catch fish.",misc,0.5,51,1594259400675
user_1595544043893,False,1,5,1595544223656,"If a lure combination has a red shape on the bottom, it will catch fish.",misc,0.25,85,1595544227560
user_1595544043893,False,2,2,1595544227560,"If a lure combination has a yellow shape or a diamond on the bottom, it will catch fish.",distractor,1,75,1595544233889
user_1595544043893,False,3,8,1595544233889,"There is no pattern to which lure combinations catch fish: the results are random, but there are approximately equal numbers that catch fish and don’t.",rand,0,42,1595544237716
user_1595544043893,False,4,4,1595544237716,"If a lure combination has a pointy shape on the bottom, it will catch fish.",target,1,79,1595544240288
user_1595544043893,False,5,7,1595544240289,"If a lure combination has a rounded top shape that resembles a fish's body, it will catch fish.",abstract_shape,0.75,25,1595544241912
user_1595544043893,False,6,3,1595544241912,"If a lure combination has a top lure with bright colors that are more visible under water (red or yellow), it will catch fish.",abstract_color,0.75,71,1595544243522
user_1595544043893,False,7,1,1595544243522,"If a lure combination has a blue shape, it will catch fish.",misc,0.5,17,1595544245092
user_1595544043893,False,8,6,1595544245092,"If a lure combination has a purple dot on at least one of the lures, it will catch fish.",misc,0.75,82,1595544246638
user_1595489455974,False,1,8,1595489823120,"There is no pattern to which lure combinations catch fish: the results are random, but there are approximately equal numbers that catch fish and don’t.",rand,0,73,1595489844411
user_1595489455974,False,2,5,1595489844411,"If a lure combination has a red shape on the bottom, it will catch fish.",misc,0.25,32,1595489850931
user_1595489455974,False,3,1,1595489850932,"If a lure combination has a blue shape, it will catch fish.",misc,0.5,32,1595489863304
user_1595489455974,False,4,4,1595489863304,"If a lure combination has a pointy shape on the bottom, it will catch fish.",target,1,76,1595489873779
user_1595489455974,False,5,3,1595489873779,"If a lure combination has a top lure with bright colors that are more visible under water (red or yellow), it will catch fish.",abstract_color,0.75,64,1595489884776
user_1595489455974,False,6,2,1595489884777,"If a lure combination has a yellow shape or a diamond on the bottom, it will catch fish.",distractor,1,67,1595489898095
user_1595489455974,False,7,6,1595489898096,"If a lure combination has a purple dot on at least one of the lures, it will catch fish.",misc,0.75,36,1595489907813
user_1595489455974,False,8,7,1595489907814,"If a lure combination has a rounded top shape that resembles a fish's body, it will catch fish.",abstract_shape,0.75,62,1595489918646
user_1595354493134,True,1,6,1595355037893,"If a lure combination has a purple dot on at least one of the lures, it will catch fish.",misc,0.75,24,1595355056639
user_1595354493134,True,2,2,1595355056639,"If a lure combination has a yellow shape or a diamond on the bottom, it will catch fish.",distractor,1,42,1595355068020
user_1595354493134,True,3,1,1595355068020,"If a lure combination has a blue shape, it will catch fish.",misc,0.5,13,1595355073425
user_1595354493134,True,4,7,1595355073426,"If a lure combination has a rounded top shape that resembles a fish's body, it will catch fish.",abstract_shape,0.75,55,1595355085208
user_1595354493134,True,5,8,1595355085209,"There is no pattern to which lure combinations catch fish: the results are random, but there are approximately equal numbers that catch fish and don’t.",rand,0,30,1595355093277
user_1595354493134,True,6,5,1595355093277,"If a lure combination has a red shape on the bottom, it will catch fish.",misc,0.25,1,1595355098668
user_1595354493134,True,7,3,1595355098669,"If a lure combination has a top lure with bright colors that are more visible under water (red or yellow), it will catch fish.",abstract_color,0.75,76,1595355103802
user_1595354493134,True,8,4,1595355103802,"If a lure combination has a pointy shape on the bottom, it will catch fish.",target,1,100,1595355106754
user_1595905281170,True,1,3,1595905736989,"If a lure combination has a top lure with bright colors that are more visible under water (red or yellow), it will catch fish.",abstract_color,0.75,37,1595905767130
user_1595905281170,True,2,2,1595905767131,"If a lure combination has a yellow shape or a diamond on the bottom, it will catch fish.",distractor,1,100,1595905780791
user_1595905281170,True,3,6,1595905780792,"If a lure combination has a purple dot on at least one of the lures, it will catch fish.",misc,0.75,53,1595905798314
user_1595905281170,True,4,8,1595905798314,"There is no pattern to which lure combinations catch fish: the results are random, but there are approximately equal numbers that catch fish and don’t.",rand,0,100,1595905807984
user_1595905281170,True,5,5,1595905807984,"If a lure combination has a red shape on the bottom, it will catch fish.",misc,0.25,1,1595905815733
user_1595905281170,True,6,1,1595905815734,"If a lure combination has a blue shape, it will catch fish.",misc,0.5,50,1595905826278
user_1595905281170,True,7,7,1595905826279,"If a lure combination has a rounded top shape that resembles a fish's body, it will catch fish.",abstract_shape,0.75,43,1595905840037
user_1595905281170,True,8,4,1595905840038,"If a lure combination has a pointy shape on the bottom, it will catch fish.",target,1,87,1595905853298
user_1594540412257,False,1,5,1594540938304,"If a lure combination has a red shape on the bottom, it will catch fish.",misc,0.25,22,1594540956379
user_1594540412257,False,2,3,1594540956380,"If a lure combination has a top lure with bright colors that are more visible under water (red or yellow), it will catch fish.",abstract_color,0.75,38,1594540975661
user_1594540412257,False,3,4,1594540975662,"If a lure combination has a pointy shape on the bottom, it will catch fish.",target,1,58,1594540988026
user_1594540412257,False,4,8,1594540988026,"There is no pattern to which lure combinations catch fish: the results are random, but there are approximately equal numbers that catch fish and don’t.",rand,0,70,1594540995716
user_1594540412257,False,5,2,1594540995716,"If a lure combination has a yellow shape or a diamond on the bottom, it will catch fish.",distractor,1,97,1594541007965
user_1594540412257,False,6,6,1594541007966,"If a lure combination has a purple dot on at least one of the lures, it will catch fish.",misc,0.75,30,1594541021986
user_1594540412257,False,7,7,1594541021986,"If a lure combination has a rounded top shape that resembles a fish's body, it will catch fish.",abstract_shape,0.75,83,1594541033577
user_1594540412257,False,8,1,1594541033577,"If a lure combination has a blue shape, it will catch fish.",misc,0.5,18,1594541040604
user_1594325921897,False,1,6,1594326241299,"If a lure combination has a purple dot on at least one of the lures, it will catch fish.",misc,0.75,52,1594326255575
user_1594325921897,False,2,7,1594326255576,"If a lure combination has a rounded top shape that resembles a fish's body, it will catch fish.",abstract_shape,0.75,68,1594326271325
user_1594325921897,False,3,1,1594326271326,"If a lure combination has a blue shape, it will catch fish.",misc,0.5,29,1594326281151
user_1594325921897,False,4,5,1594326281152,"If a lure combination has a red shape on the bottom, it will catch fish.",misc,0.25,16,1594326289624
user_1594325921897,False,5,8,1594326289625,"There is no pattern to which lure combinations catch fish: the results are random, but there are approximately equal numbers that catch fish and don’t.",rand,0,75,1594326299743
user_1594325921897,False,6,2,1594326299744,"If a lure combination has a yellow shape or a diamond on the bottom, it will catch fish.",distractor,1,78,1594326312184
user_1594325921897,False,7,4,1594326312185,"If a lure combination has a pointy shape on the bottom, it will catch fish.",target,1,71,1594326323028
user_1594325921897,False,8,3,1594326323029,"If a lure combination has a top lure with bright colors that are more visible under water (red or yellow), it will catch fish.",abstract_color,0.75,45,1594326330634
user_1595472309891,True,1,6,1595472798333,"If a lure combination has a purple dot on at least one of the lures, it will catch fish.",misc,0.75,11,1595472815206
user_1595472309891,True,2,2,1595472815206,"If a lure combination has a yellow shape or a diamond on the bottom, it will catch fish.",distractor,1,71,1595472840565
user_1595472309891,True,3,1,1595472840565,"If a lure combination has a blue shape, it will catch fish.",misc,0.5,42,1595472847624
user_1595472309891,True,4,4,1595472847624,"If a lure combination has a pointy shape on the bottom, it will catch fish.",target,1,100,1595472856099
user_1595472309891,True,5,5,1595472856099,"If a lure combination has a red shape on the bottom, it will catch fish.",misc,0.25,1,1595472864606
user_1595472309891,True,6,3,1595472864606,"If a lure combination has a top lure with bright colors that are more visible under water (red or yellow), it will catch fish.",abstract_color,0.75,28,1595472882335
user_1595472309891,True,7,8,1595472882335,"There is no pattern to which lure combinations catch fish: the results are random, but there are approximately equal numbers that catch fish and don’t.",rand,0,61,1595472886728
user_1595472309891,True,8,7,1595472886729,"If a lure combination has a rounded top shape that resembles a fish's body, it will catch fish.",abstract_shape,0.75,43,1595472897705
user_1595290764895,False,1,5,1595291302482,"If a lure combination has a red shape on the bottom, it will catch fish.",misc,0.25,9,1595291316389
user_1595290764895,False,2,8,1595291316389,"There is no pattern to which lure combinations catch fish: the results are random, but there are approximately equal numbers that catch fish and don’t.",rand,0,78,1595291330451
user_1595290764895,False,3,3,1595291330451,"If a lure combination has a top lure with bright colors that are more visible under water (red or yellow), it will catch fish.",abstract_color,0.75,49,1595291351523
user_1595290764895,False,4,1,1595291351524,"If a lure combination has a blue shape, it will catch fish.",misc,0.5,48,1595291360343
user_1595290764895,False,5,6,1595291360343,"If a lure combination has a purple dot on at least one of the lures, it will catch fish.",misc,0.75,65,1595291370077
user_1595290764895,False,6,7,1595291370077,"If a lure combination has a rounded top shape that resembles a fish's body, it will catch fish.",abstract_shape,0.75,65,1595291407355
user_1595290764895,False,7,4,1595291407355,"If a lure combination has a pointy shape on the bottom, it will catch fish.",target,1,90,1595291420784
user_1595290764895,False,8,2,1595291420784,"If a lure combination has a yellow shape or a diamond on the bottom, it will catch fish.",distractor,1,100,1595291438705
user_1595847343533,False,1,7,1595849350006,"If a lure combination has a rounded top shape that resembles a fish's body, it will catch fish.",abstract_shape,0.75,96,1595849396813
user_1595847343533,False,2,5,1595849396813,"If a lure combination has a red shape on the bottom, it will catch fish.",misc,0.25,1,1595849416575
user_1595847343533,False,3,8,1595849416576,"There is no pattern to which lure combinations catch fish: the results are random, but there are approximately equal numbers that catch fish and don’t.",rand,0,19,1595849437003
user_1595847343533,False,4,6,1595849437004,"If a lure combination has a purple dot on at least one of the lures, it will catch fish.",misc,0.75,79,1595849470653
user_1595847343533,False,5,4,1595849470653,"If a lure combination has a pointy shape on the bottom, it will catch fish.",target,1,98,1595849483256
user_1595847343533,False,6,3,1595849483257,"If a lure combination has a top lure with bright colors that are more visible under water (red or yellow), it will catch fish.",abstract_color,0.75,96,1595849502158
user_1595847343533,False,7,1,1595849502158,"If a lure combination has a blue shape, it will catch fish.",misc,0.5,68,1595849516926
user_1595847343533,False,8,2,1595849516926,"If a lure combination has a yellow shape or a diamond on the bottom, it will catch fish.",distractor,1,98,1595849533433
user_1595708447269,False,1,2,1595708837438,"If a lure combination has a yellow shape or a diamond on the bottom, it will catch fish.",distractor,1,100,1595708859250
user_1595708447269,False,2,3,1595708859251,"If a lure combination has a top lure with bright colors that are more visible under water (red or yellow), it will catch fish.",abstract_color,0.75,100,1595709812441
user_1595708447269,False,3,8,1595709812441,"There is no pattern to which lure combinations catch fish: the results are random, but there are approximately equal numbers that catch fish and don’t.",rand,0,100,1595709831237
user_1595708447269,False,4,6,1595709831237,"If a lure combination has a purple dot on at least one of the lures, it will catch fish.",misc,0.75,100,1595709845043
user_1595708447269,False,5,1,1595709845044,"If a lure combination has a blue shape, it will catch fish.",misc,0.5,1,1595709852420
user_1595708447269,False,6,4,1595709852421,"If a lure combination has a pointy shape on the bottom, it will catch fish.",target,1,100,1595709867120
user_1595708447269,False,7,5,1595709867121,"If a lure combination has a red shape on the bottom, it will catch fish.",misc,0.25,20,1595709880482
user_1595708447269,False,8,7,1595709880482,"If a lure combination has a rounded top shape that resembles a fish's body, it will catch fish.",abstract_shape,0.75,76,1595709910936
user_1594946125400,True,1,3,1594946606777,"If a lure combination has a top lure with bright colors that are more visible under water (red or yellow), it will catch fish.",abstract_color,0.75,50,1594946642437
user_1594946125400,True,2,4,1594946642437,"If a lure combination has a pointy shape on the bottom, it will catch fish.",target,1,100,1594946652617
user_1594946125400,True,3,6,1594946652618,"If a lure combination has a purple dot on at least one of the lures, it will catch fish.",misc,0.75,100,1594946656697
user_1594946125400,True,4,8,1594946656697,"There is no pattern to which lure combinations catch fish: the results are random, but there are approximately equal numbers that catch fish and don’t.",rand,0,18,1594946661517
user_1594946125400,True,5,5,1594946661518,"If a lure combination has a red shape on the bottom, it will catch fish.",misc,0.25,1,1594946667710
user_1594946125400,True,6,1,1594946667710,"If a lure combination has a blue shape, it will catch fish.",misc,0.5,1,1594946670896
user_1594946125400,True,7,2,1594946670896,"If a lure combination has a yellow shape or a diamond on the bottom, it will catch fish.",distractor,1,53,1594946678782
user_1594946125400,True,8,7,1594946678782,"If a lure combination has a rounded top shape that resembles a fish's body, it will catch fish.",abstract_shape,0.75,1,1594946686026
user_1594612878367,False,1,1,1594613134132,"If a lure combination has a blue shape, it will catch fish.",misc,0.5,53,1594613149606
user_1594612878367,False,2,5,1594613149606,"If a lure combination has a red shape on the bottom, it will catch fish.",misc,0.25,1,1594613160333
user_1594612878367,False,3,8,1594613160333,"There is no pattern to which lure combinations catch fish: the results are random, but there are approximately equal numbers that catch fish and don’t.",rand,0,88,1594613168578
user_1594612878367,False,4,3,1594613168578,"If a lure combination has a top lure with bright colors that are more visible under water (red or yellow), it will catch fish.",abstract_color,0.75,59,1594613184482
user_1594612878367,False,5,6,1594613184482,"If a lure combination has a purple dot on at least one of the lures, it will catch fish.",misc,0.75,63,1594613196869
user_1594612878367,False,6,2,1594613196869,"If a lure combination has a yellow shape or a diamond on the bottom, it will catch fish.",distractor,1,100,1594613210488
user_1594612878367,False,7,7,1594613210488,"If a lure combination has a rounded top shape that resembles a fish's body, it will catch fish.",abstract_shape,0.75,67,1594613219751
user_1594612878367,False,8,4,1594613219751,"If a lure combination has a pointy shape on the bottom, it will catch fish.",target,1,76,1594613229302
user_1594784254125,False,1,3,1594784481825,"If a lure combination has a top lure with bright colors that are more visible under water (red or yellow), it will catch fish.",abstract_color,0.75,24,1594784514741
user_1594784254125,False,2,7,1594784514742,"If a lure combination has a rounded top shape that resembles a fish's body, it will catch fish.",abstract_shape,0.75,29,1594784521824
user_1594784254125,False,3,5,1594784521825,"If a lure combination has a red shape on the bottom, it will catch fish.",misc,0.25,28,1594784524916
user_1594784254125,False,4,2,1594784524916,"If a lure combination has a yellow shape or a diamond on the bottom, it will catch fish.",distractor,1,73,1594784534200
user_1594784254125,False,5,6,1594784534202,"If a lure combination has a purple dot on at least one of the lures, it will catch fish.",misc,0.75,24,1594784541130
user_1594784254125,False,6,4,1594784541131,"If a lure combination has a pointy shape on the bottom, it will catch fish.",target,1,96,1594784544858
user_1594784254125,False,7,8,1594784544859,"There is no pattern to which lure combinations catch fish: the results are random, but there are approximately equal numbers that catch fish and don’t.",rand,0,19,1594784554114
user_1594784254125,False,8,1,1594784554115,"If a lure combination has a blue shape, it will catch fish.",misc,0.5,22,1594784557298
user_1594183430795,True,1,5,1594183916324,"If a lure combination has a red shape on the bottom, it will catch fish.",misc,0.25,19,1594183928885
user_1594183430795,True,2,1,1594183928885,"If a lure combination has a blue shape, it will catch fish.",misc,0.5,33,1594183942963
user_1594183430795,True,3,6,1594183942963,"If a lure combination has a purple dot on at least one of the lures, it will catch fish.",misc,0.75,76,1594183954905
user_1594183430795,True,4,4,1594183954905,"If a lure combination has a pointy shape on the bottom, it will catch fish.",target,1,100,1594183963935
user_1594183430795,True,5,3,1594183963935,"If a lure combination has a top lure with bright colors that are more visible under water (red or yellow), it will catch fish.",abstract_color,0.75,45,1594183977743
user_1594183430795,True,6,2,1594183977743,"If a lure combination has a yellow shape or a diamond on the bottom, it will catch fish.",distractor,1,93,1594183998537
user_1594183430795,True,7,8,1594183998537,"There is no pattern to which lure combinations catch fish: the results are random, but there are approximately equal numbers that catch fish and don’t.",rand,0,34,1594184003400
user_1594183430795,True,8,7,1594184003400,"If a lure combination has a rounded top shape that resembles a fish's body, it will catch fish.",abstract_shape,0.75,24,1594184012102
user_1594249910833,True,1,2,1594250371209,"If a lure combination has a yellow shape or a diamond on the bottom, it will catch fish.",distractor,1,18,1594250414862
user_1594249910833,True,2,3,1594250414862,"If a lure combination has a top lure with bright colors that are more visible under water (red or yellow), it will catch fish.",abstract_color,0.75,10,1594250434383
user_1594249910833,True,3,6,1594250434383,"If a lure combination has a purple dot on at least one of the lures, it will catch fish.",misc,0.75,8,1594250447359
user_1594249910833,True,4,1,1594250447360,"If a lure combination has a blue shape, it will catch fish.",misc,0.5,7,1594250458884
user_1594249910833,True,5,4,1594250458885,"If a lure combination has a pointy shape on the bottom, it will catch fish.",target,1,96,1594250473421
user_1594249910833,True,6,5,1594250473421,"If a lure combination has a red shape on the bottom, it will catch fish.",misc,0.25,1,1594250485500
