Subject,Condition,Trial index,Code block,Trial catches fish,Subject response,FINAL - total mechanisms,FINAL - total shape references,FINAL - abstract shape references,FINAL - concrete shape references,FINAL - total color references,FINAL - abstract color references,FINAL - concrete color references,FINAL - total purple dot references,FINAL - abstract purple dot references,FINAL - concrete purple dot references
user_1594413803368,Explain,4,2,1,the star has 4 sharp angles to hook fish.,1,2,1,1,0,0,0,0,0,0
user_1594413803368,Explain,5,2,1,square has angles to hook fish.,1,1,0,1,0,0,0,0,0,0
user_1594413803368,Explain,6,2,0,"lack of a spot, which might be the fish lure.",0,0,0,0,0,0,0,1,0,1
user_1594413803368,Explain,7,2,1,sharp angles are important. and squares have enough angles to hook fish!,1,2,1,1,0,0,0,0,0,0
user_1594413803368,Explain,8,2,0,fortunate works here. the oval can make fish slip and escape easily.,1,1,0,1,0,0,0,0,0,0
user_1595915103486,Describe,1,2,1,red tear drop purple heart yellow upside down triangle,0,2,0,2,2,0,2,1,0,1
user_1595915103486,Describe,2,2,0,green circle blue tear drop,0,2,0,2,2,0,2,0,0,0
user_1595915103486,Describe,3,2,0,green circle yellow diamond,0,2,0,2,2,0,2,0,0,0
user_1595915103486,Describe,4,2,1,blue oval yellow star,0,2,0,2,2,0,2,0,0,0
user_1595915103486,Describe,5,2,1,red circle green diamond,0,2,0,2,2,0,2,0,0,0
user_1595915103486,Describe,6,2,0,blue star red circle,0,2,0,2,2,0,2,0,0,0
user_1595915103486,Describe,7,2,1,yellow diamond blue diamond,0,2,0,2,2,0,2,0,0,0
user_1595915103486,Describe,8,2,0,green triangle,0,1,0,1,1,0,1,0,0,0
user_1594246370758,Explain,1,2,1,My friend caught a fish because this lure combination has bright colors and has a sharp point at the bottom for them to cling on.,1,1,1,0,1,1,0,0,0,0
user_1594246370758,Explain,2,2,0,The colors of this lure are not bright and the end of the lure is round so it is more difficult for fish to cling to.,1,1,1,0,1,1,0,0,0,0
user_1594246370758,Explain,3,2,0,The lure is smaller in shape and the bottom part is round so the fish do not cling to it.,1,1,1,0,0,0,0,0,0,0
user_1594246370758,Explain,4,2,1,The yellow part at the bottom is sharp so fish will cling to it. The yellow is also very bright and the size of the lure is bigger.,1,1,1,0,2,1,1,0,0,0
user_1594246370758,Explain,5,2,1,The red color is very bright and the bottom is sharp so that it can capture fish.,1,1,1,0,2,1,1,0,0,0
user_1594246370758,Explain,6,2,0,The bottom is round which corresponds to all of the lures that have not caught fish.,0,1,1,0,0,0,0,0,0,0
user_1594246370758,Explain,7,2,1,The bottom of the lure is sharp so that the fish could be caught.,1,1,1,0,0,0,0,0,0,0
user_1594246370758,Explain,8,2,0,The bottom of the lure is round so no fish were caught.,0,1,1,0,0,0,0,0,0,0
user_1595153144375,Describe,1,2,1,"The lure is mostly a red, Roly-poly toy shape main part, with a purple circle on the top left.
 There is also a yellow triangle below the red part",0,2,0,2,2,0,2,1,0,1
user_1595153144375,Describe,2,2,0,Green circle with a smaller blue water droplet below,0,2,0,2,2,0,2,0,0,0
user_1595153144375,Describe,3,2,0,"Yellow 45 degree rotated square, with a green circle below, there is a dot in the circle, probably purple colored",0,2,0,2,2,0,2,1,0,1
user_1595153144375,Describe,4,2,1,"Blue Ellipse on top, small yellow star with a purple dot below",0,2,0,2,2,0,2,1,0,1
user_1595153144375,Describe,5,2,1,"Red circle with small purple dot, with a rotated green square below it, (smaller than circle) with a smaller purple dot inside",0,2,0,2,2,0,2,2,0,2
user_1595153144375,Describe,6,2,0,Blue star with smaller red circle below,0,2,0,2,2,0,2,0,0,0
user_1595153144375,Describe,7,2,1,Yellow 45 degree rotated square with a blue square below it. There is a purple dot in the yellow square,0,2,0,2,2,0,2,1,0,1
user_1595153144375,Describe,8,2,0,"Green triangle pointing down with purple dot, red ellispe below with smaller dot",0,2,0,2,2,0,2,2,0,2
user_1595133967563,Explain,1,2,1,It's brightly colored with 2 identifying feature. There is a small circle and the bright yellow triangle.,0,2,0,2,2,1,1,0,0,0
user_1595133967563,Explain,2,2,0,It its not brightly colored and it don't have multiple big features to catch the fish's attention.,1,0,0,0,1,1,0,0,0,0
user_1595133967563,Explain,3,2,0,The fish do not seem to be attracted to the color green and it is a smaller lure,1,0,0,0,1,0,1,0,0,0
user_1595133967563,Explain,4,2,1,The yellow on the bottom of the lure is attracting fish. It is also a big size.,1,0,0,0,1,0,1,0,0,0
user_1595133967563,Explain,5,2,1,It is similar to the first lure where it has a big red color with a purple circle in it.,0,0,0,0,1,0,1,1,0,1
user_1595133967563,Explain,6,2,0,There's no yellow on the bottom and the red is not on the top. There is also not an inner circle for the fish to be attracted to.,1,0,0,0,2,0,2,1,0,1
user_1595133967563,Explain,7,2,1,I'm really not sure. Maybe because of the double diamond shape and the purple circle.,0,2,0,2,0,0,0,1,0,1
user_1595133967563,Explain,8,2,0,The fish is not attracted to double circles or triangles. There is not a red or yellow color as well.,0,2,0,2,2,0,2,0,0,0
user_1595259802201,Describe,1,2,1,tear drop with a purple dot inside and yellow triangle on the underside,0,2,0,2,1,0,1,1,0,1
user_1595259802201,Describe,2,2,0,circle and tear drop at the bottom,0,2,0,2,0,0,0,0,0,0
user_1595259802201,Describe,3,2,0,diamond on the top with a smaller green circle that has a smaller purple circle,0,2,0,2,1,0,1,1,0,1
user_1595259802201,Describe,4,2,1,oval blue shape with a star like shape that has a dot of purple,0,2,0,2,1,0,1,1,0,1
user_1595259802201,Describe,5,2,1,"red circle with a purple dot and a a green diamond on the bottom that has a purple dot,",0,2,0,2,2,0,2,2,0,2
user_1595259802201,Describe,6,2,0,blue start like shape with a red dot on bottom,0,2,0,2,2,0,2,0,0,0
user_1595259802201,Describe,7,2,1,yellow diamond with a purple dot and smaller blue diamond on the bottom,0,2,0,2,2,0,2,1,0,1
user_1595259802201,Describe,8,2,0,upside down green triangle with a purple dot and red oval that has a purple dot,0,2,0,2,2,0,2,2,0,2
user_1595112504345,Explain,1,2,1,its bright and has easy sides to bite and looks juicy,1,0,0,0,1,1,0,0,0,0
user_1595112504345,Explain,2,2,0,"its round, difficult to grab ahold of. maybe the color is similar to the fish already",1,1,1,0,0,0,0,0,0,0
user_1595112504345,Explain,3,2,0,"hard to grab, circular. also too edgy",1,2,2,0,0,0,0,0,0,0
user_1595112504345,Explain,4,2,1,easy to grab on the bottom and round on top. looks like a small fish maybe,2,1,1,0,0,0,0,0,0,0
user_1595112504345,Explain,5,2,1,sharp side easy to grab and circular makes it look like good bait,1,2,2,0,0,0,0,0,0,0
user_1595112504345,Explain,6,2,0,hard to grab,1,0,0,0,0,0,0,0,0,0
user_1595112504345,Explain,7,2,1,easy to grab,1,0,0,0,0,0,0,0,0,0
user_1595112504345,Explain,8,2,0,hard to grab,1,0,0,0,0,0,0,0,0,0
user_1594626514650,Explain,1,2,1,"It contains two very bright, dominant colors that might have attracted the fish.",1,0,0,0,2,2,0,0,0,0
user_1594626514650,Explain,2,2,0,"Unlike the first one, this combination consists of two cool colors that are generally calmer on the eyes. It most likely didn't catch a fish's attention for this reason.",1,0,0,0,2,2,0,0,0,0
user_1594626514650,Explain,3,2,0,"The lure looks fairly small, and the combination of colors might've not caught the fish's attention due to the cool toned green.",1,0,0,0,2,1,1,0,0,0
user_1594626514650,Explain,4,2,1,"Similarly to the first one, they are longer vertically compared to the other two. They also both have yellow bottom pieces, which might've caught the fish's attention for how bright the color is.",1,0,0,0,2,0,2,0,0,0
user_1594626514650,Explain,5,2,1,"The red might be an attractive color for fishes, which might be why they tend to be attracted to these combinations.",1,0,0,0,1,0,1,0,0,0
user_1594626514650,Explain,6,2,0,"The jagged edges of this combination might've turned the fishes off, and the bottom piece's color could have been unattractive for the fishes also.",1,1,1,0,0,0,0,0,0,0
user_1594626514650,Explain,7,2,1,"I've noticed that combinations with the purple circle at least on the top shape have all shown success, so that might be one major reason for a successful catch.",0,0,0,0,0,0,0,1,0,1
user_1594626514650,Explain,8,2,0,I don't think this caught any fish because of the color combination.,0,0,0,0,0,0,0,0,0,0
user_1595913291451,Describe,1,2,1,"Combination of a water drop, a circle inside which look like a fish's eye and a triangle at the bottom which looks like a fish tail",1,2,1,1,0,0,0,1,1,0
user_1595913291451,Describe,2,2,0,Combination of a circle on top and water drop shape at the bottom,0,2,0,2,0,0,0,0,0,0
user_1595913291451,Describe,3,2,0,"Square on top, circle at the bottom",0,2,0,2,0,0,0,0,0,0
user_1595913291451,Describe,4,2,1,oval shape on top and a starshaped at the bottom,0,2,0,2,0,0,0,0,0,0
user_1595913291451,Describe,5,2,1,Orange circle on top and a green square at the bottom,0,2,0,2,2,0,2,0,0,0
user_1595913291451,Describe,6,2,0,"Blue star on top, orange circle at bottom",0,2,0,2,2,0,2,0,0,0
user_1595913291451,Describe,7,2,1,"Yellow square on top with small purple circle inside, bottom is a blue square",0,2,0,2,2,0,2,1,0,1
user_1595913291451,Describe,8,2,0,Green triangle with small purple circle inside and an orange oval with a small purple circle inside,0,2,0,2,2,0,2,2,0,2
user_1595192349526,Describe,1,2,1,red teardrop with a purple dot on the left and a yellow triangle on the bottom,0,2,0,2,2,0,2,1,0,1
user_1595192349526,Describe,2,2,0,a green circle with a blue teardrop on the bottom,0,2,0,2,2,0,2,0,0,0
user_1595192349526,Describe,3,2,0,yellow diamond shape with a green circle that has a purple dot on the right on the bottom,0,2,0,2,2,0,2,1,0,1
user_1595192349526,Describe,4,2,1,blue oval with yellow star shape that has a purple dot on the right on the bottom,0,2,0,2,2,0,2,1,0,1
user_1595192349526,Describe,5,2,1,a red circle with a purple dot in the middle of it and a green diamond with a purple dot on the right on the bottom,0,2,0,2,2,0,2,2,0,2
user_1595192349526,Describe,6,2,0,blue star with a red circle on the bottom,0,2,0,2,2,0,2,0,0,0
user_1595192349526,Describe,7,2,1,yellow diamond with a purple dot on the top right and a blue diamond on the bottom,0,2,0,2,2,0,2,1,0,1
user_1595192349526,Describe,8,2,0,green inverted triangle with a purple dot on the left and a red oval with a purple dot on the left on the bottom,0,2,0,2,2,0,2,2,0,2
user_1594162861906,Explain,1,2,1,Bright colors attracts the fish,1,0,0,0,1,1,0,0,0,0
user_1594162861906,Explain,2,2,0,Too round and could blend in with the water,0,1,1,0,0,0,0,0,0,0
user_1594162861906,Explain,3,2,0,Sharp edges so fish can possibly see it as a hazard,1,1,1,0,0,0,0,0,0,0
user_1594162861906,Explain,4,2,1,Doesn't look intimidating compared to the last two. The colors aren't too overwhelming,0,0,0,0,1,1,0,0,0,0
user_1594162861906,Explain,5,2,1,"Similar to the last one, the top is not too intimidating and the bottom has some structure that can grasp the fish",1,0,0,0,0,0,0,0,0,0
user_1594162861906,Explain,6,2,0,The top seems a bit too much and the bottom doesn't have much that the fish can grasp,1,0,0,0,0,0,0,0,0,0
user_1594162861906,Explain,7,2,1,It looks like a fish/food,1,0,0,0,0,0,0,0,0,0
user_1594162861906,Explain,8,2,0,The inverted triangle doesn't allow the lure to bob so it doesn't get the fish attention,1,1,0,1,0,0,0,0,0,0
user_1594171990724,Explain,1,2,1,The lure is a bright visible color which could attract the fish. Both the red and the yellow color would be visible under the water for fish to see.,1,0,0,0,3,1,2,0,0,0
user_1594171990724,Explain,2,2,0,"This lure is a camouflage color up against the water, so the fish may not be able to see this lure.",1,0,0,0,1,1,0,0,0,0
user_1594171990724,Explain,3,2,0,"The green portion does not stand out, and the yellow structure of the lure has a rigid structure and may be hard for the fish to bite.",2,1,1,0,2,0,2,0,0,0
user_1594171990724,Explain,4,2,1,The yellow end of the lure has multiple locations for the fish to bite increasing the chances the fish would bite onto it.,1,0,0,0,1,0,1,0,0,0
user_1594171990724,Explain,5,2,1,The green end of the lure has multiple edges for the fish to cling onto and bite,1,0,0,0,1,0,1,0,0,0
user_1594171990724,Explain,6,2,0,The smaller end(red portion) of the lure is a circle which is a common characteristic of the other lures that also did not catch any fish.,0,1,0,1,1,0,1,0,0,0
user_1594171990724,Explain,7,2,1,The lures that have been successful at catching fish also had the smaller unit with edges to bite on to.,1,0,0,0,0,0,0,0,0,0
user_1594171990724,Explain,8,2,0,The smaller portion where the fish bites is in an oval shape and lacks clear edges for the fish to bite onto.,1,1,0,1,0,0,0,0,0,0
user_1594339812458,Describe,1,2,1,top 2/3: red teardrop shape with small purple circle on left edge; underneath the tear drop is an inverted small yellow circle,0,2,0,2,2,0,2,1,0,1
user_1594339812458,Describe,2,2,0,"small blue teardrop shape on bottom, large green circle on top",0,2,0,2,2,0,2,0,0,0
user_1594339812458,Describe,3,2,0,"yellow diamond (like a slice of cheese), bottom point touching a small green circle with black circle on southeast side that looks like an olive",0,2,0,2,2,0,2,1,0,1
user_1594339812458,Describe,4,2,1,oblong blue oval with yellow star shape on bottom with very small black circle on northeast inward corner,0,2,0,2,2,0,2,1,0,1
user_1594339812458,Describe,5,2,1,"large red circle with offcenter purple circle within it; underneath, a small green diamond with a smaller purple circle near the right corner",0,2,0,2,2,0,2,2,0,2
user_1594339812458,Describe,6,2,0,large blue star shape with small red circle under south outward point,0,2,0,2,2,0,2,0,0,0
user_1594339812458,Describe,7,2,1,large yellow diamond with purple dot near north point and small blue diamond underneath,0,2,0,2,2,0,2,1,0,1
user_1594339812458,Describe,8,2,0,inverted green triangle with purple circle in top left point with a red oval underneath it with a smaller purple circle on the left side,0,2,0,2,2,0,2,2,0,2
user_1595105899633,Describe,1,2,1,red teardrop shape with a small purple circle towards the upper left. Below the red teardrop shape is a small yellow inverted triangle,0,2,0,2,2,0,2,1,0,1
user_1595105899633,Describe,2,2,0,green circle above blue teardrop,0,2,0,2,2,0,2,0,0,0
user_1595105899633,Describe,3,2,0,yellow diamond above green circle with purple dot,0,2,0,2,2,0,2,1,0,1
user_1595105899633,Describe,4,2,1,blue oval above yellow + sign with purple dot,0,2,0,2,2,0,2,1,0,1
user_1595105899633,Describe,5,2,1,red circle with purple dot above green diamond with purple dot,0,2,0,2,2,0,2,2,0,2
user_1595105899633,Describe,6,2,0,blue + sign above red circle,0,2,0,2,2,0,2,0,0,0
user_1595105899633,Describe,7,2,1,yellow diamond with purple dot above blue diamond,0,2,0,2,2,0,2,1,0,1
user_1595105899633,Describe,8,2,0,green inverted triangle with purple dot above red oval with purple dot,0,2,0,2,2,0,2,2,0,2
user_1595900388289,Describe,1,2,1,"An orange teardrop lure with a purple dot on it, and a smaller yellow triangle lure attached to the bottom of the first.",0,2,0,2,2,0,2,1,0,1
user_1595900388289,Describe,2,2,0,A green circle lure with a smaller blue teardrop attached to the bottom.,0,2,0,2,2,0,2,0,0,0
user_1595900388289,Describe,3,2,0,A yellow orange diamond lure with a smaller green circle lure with a purple dot on it attached to the bottom.,0,2,0,2,2,0,2,1,0,1
user_1595900388289,Describe,4,2,1,A blue oval lure with a smaller yellow four-pointed star lure with a purple dot on it attached to the bottom of the first.,0,2,0,2,2,0,2,1,0,1
user_1595900388289,Describe,5,2,1,"An orange circle lure with a purple dot on it, with a smaller green diamond lure with a purple dot on it attached to the bottom of the first.",0,2,0,2,2,0,2,2,0,2
user_1595900388289,Describe,6,2,0,A blue four-pointed star lure with a smaller orange circle attached to the bottom.,0,2,0,2,2,0,2,0,0,0
user_1595900388289,Describe,7,2,1,"A yellow diamond lure with a purple dot on it, with a smaller blue diamond lure attached to the bottom.",0,2,0,2,2,0,2,1,0,1
user_1595900388289,Describe,8,2,0,"A green triangle lure with a purple dot on it, with a smaller orange oval with a purple dot on it attached to the bottom of the first lure.",0,2,0,2,2,0,2,2,0,2
user_1595543497290,Explain,1,2,1,"It has a similar shape as the body of the fish, not including it's fins. It also has a dot similar to an eye.",1,0,0,0,0,0,0,2,1,1
user_1595543497290,Explain,2,2,0,The lure does not look like a fish or any animal. An unnatural combination of shapes.,1,0,0,0,0,0,0,0,0,0
user_1595543497290,Explain,3,2,0,Not very natural looking. Sharp edges/angles.,0,1,1,0,0,0,0,0,0,0
user_1595543497290,Explain,4,2,1,The bigger part looks more like a fish body. The yellow piece might look like a tail,1,0,0,0,1,0,1,0,0,0
user_1595543497290,Explain,5,2,1,Similar square/diamond shape to the other lure that worked. More of a round body. Same red and purple combination with the body and eye color.,0,2,1,1,2,0,2,0,0,0
user_1595543497290,Explain,6,2,0,The bigger part has too many angles and isn't rounded. The tail is too rounded and needs more edges.,0,2,2,0,0,0,0,0,0,0
user_1595543497290,Explain,7,2,1,The diamond shape seems to be effective for the tail. The eye color is purple like the other lures that worked. The bigger piece is kind of boxy for a fish body but not extremely unnatural.,1,2,1,1,0,0,0,1,1,0
user_1595543497290,Explain,8,2,0,The tail piece is too rounded. The top/body piece might work if the point of the triangle was facing the opposite way.,0,2,1,1,0,0,0,0,0,0
user_1595892034692,Explain,1,2,1,Maybe because it is very colorful,0,0,0,0,0,0,0,0,0,0
user_1595892034692,Explain,2,2,0,Because it was too circular,0,1,1,0,0,0,0,0,0,0
user_1595892034692,Explain,3,2,0,Because the bottom half is too round,0,1,1,0,0,0,0,0,0,0
user_1595892034692,Explain,4,2,1,Because it is pointy at the bottom,0,1,1,0,0,0,0,0,0,0
user_1595892034692,Explain,5,2,1,Because the bottom shape has a corner to it,0,1,1,0,0,0,0,0,0,0
user_1595892034692,Explain,6,2,0,Because there were no corners on the bottom part of the lure,0,1,1,0,0,0,0,0,0,0
user_1595892034692,Explain,7,2,1,because the bottom shape has corners on it,0,1,1,0,0,0,0,0,0,0
user_1595892034692,Explain,8,2,0,Because there were no corners on the bottom shape of the lure,0,1,1,0,0,0,0,0,0,0
user_1594595046598,Describe,1,2,1,"A red water drop shaped lure with a purple circle shaped lure on it, then another yellow triangle shaped lure attached underneath them.",0,2,0,2,2,0,2,1,0,1
user_1594595046598,Describe,2,2,0,A green circle shaped lure attached above a smaller blue water drop shaped lure,0,2,0,2,2,0,2,0,0,0
user_1594595046598,Describe,3,2,0,"A yellow rhombus on a green circle, a small purole dot on the green circle",0,2,0,2,2,0,2,1,0,1
user_1594595046598,Describe,4,2,1,A blue oval shaped lure above a yellow star which has a purple dot on it,0,2,0,2,2,0,2,1,0,1
user_1594595046598,Describe,5,2,1,"a red circle with a purple circle on it, a green rhombus with a purple dot is attached underneath",0,2,0,2,2,0,2,2,0,2
user_1594595046598,Describe,6,2,0,a blue star on a red circle,0,2,0,2,2,0,2,0,0,0
user_1594595046598,Describe,7,2,1,"A yellow rhombus with a purple circle on it, a blue rhombus is attached underneath",0,2,0,2,2,0,2,1,0,1
user_1594595046598,Describe,8,2,0,"A green triangle with a purple circle on the left upper corner, a red oval with a purple dot is attached underneath",0,2,0,2,2,0,2,2,0,2
user_1595903977654,Describe,1,2,1,It is a red teardrop with a triangle pointing downwards at the bottom,0,2,0,2,1,0,1,0,0,0
user_1595903977654,Describe,2,2,0,It is a circle on the top and a teardrop at the bottom,0,2,0,2,0,0,0,0,0,0
user_1595903977654,Describe,3,2,0,It is a diamond at the top and a circle at the bottom.,0,2,0,2,0,0,0,0,0,0
user_1595903977654,Describe,4,2,1,It is an oval at the top and star at the bottom,0,2,0,2,0,0,0,0,0,0
user_1595903977654,Describe,5,2,1,It is a circle at the top with a diamond at the bottom,0,2,0,2,0,0,0,0,0,0
user_1595903977654,Describe,6,2,0,It is a ninja star at the top with a circle at the bottom,0,2,0,2,0,0,0,0,0,0
user_1595903977654,Describe,7,2,1,It is two diamonds on top of each other,0,2,0,2,0,0,0,0,0,0
user_1595903977654,Describe,8,2,0,It is a triangle with an oval at the bottom,0,2,0,2,0,0,0,0,0,0
user_1594246941320,Explain,1,2,1,It may resemble what the fish eats.,1,0,0,0,0,0,0,0,0,0
user_1594246941320,Explain,2,2,0,different color or shapes than the fish is interested in.,1,0,0,0,0,0,0,0,0,0
user_1594246941320,Explain,3,2,0,perhaps the fish does not like circles or the color green,0,1,0,1,1,0,1,0,0,0
user_1594246941320,Explain,4,2,1,the bottom lure is yellow which may appeal,1,0,0,0,1,0,1,0,0,0
user_1594246941320,Explain,5,2,1,orange with purple dot top part,0,0,0,0,1,0,1,1,0,1
user_1594246941320,Explain,6,2,0,no yellow lower part or orange upper part,0,0,0,0,2,0,2,0,0,0
user_1594246941320,Explain,7,2,1,yellow with purple dot upper or angular bottom,0,1,1,0,1,0,1,1,0,1
user_1594246941320,Explain,8,2,0,round orange lower part,0,1,1,0,1,0,1,0,0,0
user_1594330438464,Describe,1,2,1,"On top is a red tear-drop shape with a small purple circle on the top left side. Underneath it is a yellow, small upside down triangle.",0,2,0,2,2,0,2,1,0,1
user_1594330438464,Describe,2,2,0,On top is a green circle with a blue tear-drop shape underneath.,0,2,0,2,2,0,2,0,0,0
user_1594330438464,Describe,3,2,0,On top is a yellow diamond with a small green circle attached on the bottom corner. In that green circle is a purple dot on the bottom right quadrant of it.,0,2,0,2,2,0,2,1,0,1
user_1594330438464,Describe,4,2,1,"On top is a vertically elongated circle. On the bottom is a yellow shape of a star (similar to the north star), Also with a purple dot on the top right side (above the middle of the shape).",0,3,1,2,1,0,1,1,0,1
user_1594330438464,Describe,5,2,1,"On top is a red circle with a purple dot, just a little bit to the right of the center's middle. Attached on the bottom is a small green diamond, also with a purple circle closer to the right lateral side of the shape.",0,2,0,2,2,0,2,2,0,2
user_1594330438464,Describe,6,2,0,"On top is a blue star, with a red circle attached underneath.",0,2,0,2,2,0,2,0,0,0
user_1594330438464,Describe,7,2,1,On top is a yello diamond with a purple dot on the top right quadrant of it (closer to the edge). Attached to it is a blue diamond.,0,2,0,2,2,0,2,1,0,1
user_1594330438464,Describe,8,2,0,"On top is an upside down green triangle with a purple circle very close to the top left corner of it. Attached is a red, elongated circle with the same purple dot on the left side.",0,2,0,2,2,0,2,2,0,2
user_1595905648799,Describe,1,2,1,The top is red and shaped like a teardrop but has a purple circle on the left side. Under it is an upside-down yellow triangle.,0,2,0,2,2,0,2,1,0,1
user_1595905648799,Describe,2,2,0,"The top portion is a green circle and it rests on the bottom portion, which is a blue teardrop.",0,2,0,2,2,0,2,0,0,0
user_1595905648799,Describe,3,2,0,The top portion is a yellow diamond and the bottom portion is a small green circle with an even smaller red circle inside of it.,0,2,0,2,2,0,2,1,0,1
user_1595905648799,Describe,4,2,1,The top portion is a blue oval and the bottom is a yellow star with a red circle in it.,0,2,0,2,2,0,2,1,0,1
user_1595905648799,Describe,5,2,1,"The top portion is a red circle with a smaller, purple circle inside of it resting on a green diamond with a red circle inside of it.",0,2,0,2,2,0,2,1,0,1
user_1595905648799,Describe,6,2,0,The top is a blue star resting on a red circle.,0,2,0,2,2,0,2,0,0,0
user_1595905648799,Describe,7,2,1,"The top portion is a yellow diamond with a purple circle inside of it, resting on top of a smaller blue diamond.",0,2,0,2,2,0,2,1,0,1
user_1595905648799,Describe,8,2,0,"The top is an inverted green triangle with a smaller purple circle inside of it, resting on a red oval with a smaller purple circle inside of it.",0,2,0,2,2,0,2,2,0,2
user_1594266680013,Describe,1,2,1,"a red teardrop, on top of a yellow triangle, with a purple circle in it.",0,2,0,2,2,0,2,1,0,1
user_1594266680013,Describe,2,2,0,a green circle on top of a blue teardrop,0,2,0,2,2,0,2,0,0,0
